department,quarter,class_name,professor_name,section,professor_rating,professor_difficulty,professor_num_ratings
Applied Mathematics,Fall24,AM3,Jelliffe Jackson,Section 01,4.4,2.1,62
Applied Mathematics,Fall24,AM10,Yonatan Katznelson,Section 01,2.8,3.8,501
Applied Mathematics,Winter25,AM10,Jonathan Rice Katznelson,Section 01,3.2,3.8,44
Applied Mathematics,Spring25,AM10,Jonathan Rice Katznelson,Section 01,3.2,3.8,44
Applied Mathematics,Fall24,AM11A,Julie Simons,Section 01,4.3,3.1,85
Applied Mathematics,Winter25,AM11A,Julie Simons,Section 01,4.3,3.1,85
Applied Mathematics,Spring25,AM11A,Julie Simons,Section 01,4.3,3.1,85
Applied Mathematics,Fall24,AM11B,Yonatan Katznelson,Section 01,2.8,3.8,501
Applied Mathematics,Winter25,AM11B,Jelliffe Jackson,Section 01,4.4,2.1,62
Applied Mathematics,Spring25,AM11B,Jelliffe Jackson,Section 01,4.4,2.1,62
Applied Mathematics,Fall24,AM20,Jonathan Rice Katznelson,Section 01,3.2,3.8,44
Applied Mathematics,Winter25,AM20,Qi Gong,Section 01,4.3,2.3,94
Applied Mathematics,Spring25,AM20,Jonathan Rice Katznelson,Section 01,3.2,3.8,44
Applied Mathematics,Fall24,AM30,Javier Gonzalez-Rocha,Section 01,2.4,3.7,109
Applied Mathematics,Fall24,AM100,Hongyun Wang,Section 01,4.5,3.2,55
Applied Mathematics,Spring25,AM100,Ashesh Chattopadhyay,Section 01,3.4,3.3,32
Applied Mathematics,Fall24,AM107,Nic Brummell,Section 01,4.1,3.4,43
Applied Mathematics,Winter25,AM112,Hongyun Wang,Section 01,4.5,3.2,55
Applied Mathematics,Fall24,AM114,Qi Gong,Section 01,4.3,2.3,94
Applied Mathematics,Fall24,AM129,Sean Michael Riedel,Section 01,4.6,3.3,25
Applied Mathematics,Winter25,AM147,Javier Gonzalez-Rocha,Section 01,2.4,3.7,109
Applied Mathematics,Winter25,AM160,Ashesh Chattopadhyay,Section 01,3.4,3.3,32
Applied Mathematics,Winter25,AM170A,Pascale Garaud,Section 01,3.1,3.7,89
Applied Mathematics,Fall24,AM212,Pascale Garaud,Section 01,3.1,3.7,89
Applied Mathematics,Winter25,AM213A,Dongwook Lee,Section 01,4.2,3.1,103
Applied Mathematics,Spring25,AM213B,Javier Gonzalez-Rocha,Section 01,2.4,3.7,109
Applied Mathematics,Fall24,AM217,Nic Brummell,Section 01,4.1,3.4,43
Applied Mathematics,Spring25,AM224,Daniele Venturi,Section 01,4.7,2,44
Applied Mathematics,Fall24,AM229,Marcella Gomez,Section 01,2.3,3.8,6
