department,quarter,class_name,professor_name,section,professor_rating,professor_difficulty,professor_num_ratings,professor_id,tags
Applied Mathematics,Fall24,AM3,Jelliffe Jackson,Section 01,4.4,2.1,62,2874413.0,"['Clear grading criteria', 'Test heavy', 'Online Savvy', 'EXTRA CREDIT', 'Group projects']"
Applied Mathematics,Fall24,AM10,Yonatan Katznelson,Section 01,2.8,3.8,501,2303587.0,"['Test heavy', 'Lecture heavy', 'Clear grading criteria', 'Tough grader', 'Beware of pop quizzes']"
Applied Mathematics,Winter25,AM10,Jonathan Rice Katznelson,Section 01,3.2,3.8,44,464548.0,[]
Applied Mathematics,Spring25,AM10,Jonathan Rice Katznelson,Section 01,3.2,3.8,44,464548.0,[]
Applied Mathematics,Fall24,AM11A,Julie Simons,Section 01,4.3,3.1,85,2227068.0,"['Caring', 'Accessible outside class', 'Clear grading criteria', 'Amazing lectures ', ""Skip class? You won't pass.""]"
Applied Mathematics,Winter25,AM11A,Julie Simons,Section 01,4.3,3.1,85,2227068.0,"['Caring', 'Accessible outside class', 'Clear grading criteria', 'Amazing lectures ', ""Skip class? You won't pass.""]"
Applied Mathematics,Spring25,AM11A,Julie Simons,Section 01,4.3,3.1,85,492498.0,"['Lecture heavy', 'Tough grader', 'Lots of homework', 'Clear grading criteria', 'Test heavy']"
Applied Mathematics,Fall24,AM11B,Yonatan Katznelson,Section 01,2.8,3.8,501,2303587.0,"['Test heavy', 'Lecture heavy', 'Clear grading criteria', 'Tough grader', 'Beware of pop quizzes']"
Applied Mathematics,Winter25,AM11B,Jelliffe Jackson,Section 01,4.4,2.1,62,2874413.0,"['Clear grading criteria', 'Test heavy', 'Online Savvy', 'EXTRA CREDIT', 'Group projects']"
Applied Mathematics,Spring25,AM11B,Jelliffe Jackson,Section 01,4.4,2.1,62,2046041.0,"['Clear grading criteria', 'Hilarious', 'Group projects', 'Caring', 'Inspirational']"
Applied Mathematics,Fall24,AM20,Jonathan Rice Katznelson,Section 01,3.2,3.8,44,464548.0,[]
Applied Mathematics,Winter25,AM20,Qi Gong,Section 01,4.3,2.3,94,539907.0,"['Tough grader', 'Participation matters', 'Tests are tough']"
Applied Mathematics,Spring25,AM20,Jonathan Rice Katznelson,Section 01,3.2,3.8,44,464548.0,[]
Applied Mathematics,Fall24,AM30,Javier Gonzalez-Rocha,Section 01,2.4,3.7,109,2541807.0,"['Caring', 'Accessible outside class', 'Hilarious', 'Participation matters', 'Gives good feedback']"
Applied Mathematics,Fall24,AM100,Hongyun Wang,Section 01,4.5,3.2,55,2342194.0,"['Amazing lectures ', 'Caring', 'Clear grading criteria', 'Gives good feedback', 'Respected']"
